en,lang
It's behind the door,eh darwaze de piche hai
It's in front of the sofa,eh sofa de agge hai
The towel is behind the wall,taulia deewar de piche hai
The book is between the bowl and the laptop,kitab katori ate laptop de vich hai
The doggy is inside the house,doggy ghar de andar hai
The doggy is outside the house,doggy ghar de bahar hai
The sofa is opposite the table,sofa table de samne hai
The bowl is on top of the fridge,katori fridge de utte hai
The doggy is in front of the door,doggy darwaze de agge hai
The doggy is behind us,doggy sade piche hai
It's in front of me,eh mere agge hai
It's in the kitchen,eh kitchen vich hai
