en,lang
"I need my glasses.",menu apne chashme di lor hai.
"I do not want salt in this.",menu is vich namak nahi chaida.
"The tea is too sweet.",cha bahut mithi hai.
"This shirt is dirty.",eh shirt gandi hai.
"We are watching the news.",asi khabran vekh rahe hain.
"Are you free this evening?",thuanu ajj shaam fursat hai?
"I have work tomorrow.",mere koll kal kam hai.
"The bus is late.",bas late hai.
"I am waiting for a friend.",mai dost da intezaar kar raha hoon.
"The internet is slow.",internet dheema hai.
"Can you open the window?",ki tusi taqi khol sakde ho?
