en,lang
"Easier said than done.","Entre o dizer e o fazer vai uma grande distância."
"Let bygones be bygones.","Águas passadas não movem moinho."
"Nothing ventured, nothing gained.","Quem não arrisca não petisca."
"The shoemaker's son always goes barefoot.","Em casa de ferreiro espeto de pau."
"In the land of the blind, the one-eyed man is king.","Em terra de cego quem tem um olho é rei."
"God writes straight with crooked lines.","Deus escreve direito por linhas tortas."
"It's pouring rain.","Está a chover a cântaros."
"He royally messed up.","Meteu os pés pelas mãos."
"She spilled the beans.","Entregou o segredo de bandeja."
"Mind your own business.","Cada macaco no seu galho."
"The cure was worse than the disease.","O remédio foi pior que a doença."
"I wouldn't touch that with a ten-foot pole.","Nem morto meto lá as mãos."
"It's six of one, half a dozen of the other.","O mesmo cavalo com outra sela."
"He who laughs last laughs best.","Rir melhor quem ri por último."
"Still waters run deep.","Águas caladas são profundas."
"You can't have your cake and eat it too.","Querer comer o bolo e tê-lo ao mesmo tempo."
"The straw that broke the camel's back.","Foi a gota que fez transbordar o copo."
"Better late than never.","Antes tarde do que nunca."
"When it rains, it pours.","Uma desgraça nunca vem só."
"A rolling stone gathers no moss.","Pedra que rola não cria musgo."
"Every cloud has a silver lining.","Não há mal que sempre dure."
"You reap what you sow.","Cada um colhe o que semeia."
"The early bird catches the worm.","Deus ajuda quem cedo madruga."
