en,lang
"I have a new phone.",mere koll nava phone hai.
"Do you have a charger?",tuade koll charger hai?
"The rice is in the pot.",chaul handi vich hai.
"My wallet is on the cupboard.",mera batua almari te hai.
"We have no sugar at home.",sade ghar cheeni nahi hai.
"There is oil in the bottle.",botal vich tel hai.
"The kitchen light is off.",kitchen di batti band hai.
"I have your book with me.",mere koll tuadi kitaab hai.
"They have two children.",ohna de koll do bacche hain.
"Is there soap in the bathroom?",bathroom vich sabun hai?
"My keys are in the drawer.",merian chaabian drawer vich hain.
