en,lang
I'm sitting on my chair,main apni kursi te baithya hun
I'm lying on my bed,main apne bistar te leya hun
I'm closing the door,main darwaza band kar raha hun
I'm opening the door,main darwaza khol raha hun
I'm closing the window,main khidki band kar raha hun
I'm opening the window,main khidki khol raha hun
I'm typing on my computer,main apne computer te type kar raha hun
I'm taking my supplements,main apne supplement le raha hun
I'm putting in my eyedrops,main apniyan akhan vich eyedrop paa raha hun
I'm sleeping in my bed,main apne bistar te sutta hun
I'm reading a book,main kitab parh raha hun
I'm doing my work,main apna kam kar raha hun
