en,lang
ambivalence,ambivalência
perspicacity,perspicácia
equivocation,equívoco
dissimulation,dissimulação
malevolence,malevolência
vicissitude,vicissitude
prolixity,prolixidade
sinecure,sinecura
hermeneutics,hermenêutica
epistemology,epistemologia
ontology,ontologia
dialectics,dialética
contingency,contingência
congruence,congruência
incongruity,incongruência
dissonance,dissonância
convergence,convergência
divergence,divergência
anachronism,anacronismo
pleonasm,pleonasmo
oxymoron,oxímoro
metonymy,metonímia
synesthesia,sinestesia
hyperbole,hipérbole
litotes,litote
circumlocution,circunlóquio
peroration,perorata
grandiloquence,grandiloquência
parsimony,parsimonia
recalcitrance,recalcitrância
obfuscation,obfuscação
caprice,capricho
perfidy,perfídia
meticulousness,meticulosidade
ebullience,ebuliência
pellucidity,pelucidez
perfunctory,perfunctório
verisimilitude,verossimilhança
desuetude,desuetude
ameliorate,ameliorar
obviate,obviar
prevaricate,prevaricar
expurgate,expurgar
extrapolate,extrapolar
subjugate,subjugar
vitiate,viciar
ossify,ossificar
recant,retratar-se
abrogate,ab-rogar
execrate,execrar
profligate,pródigo
insouciance,despreocupação
zeitgeist,zeitgeist
