en,lang
I think that you're right,main sochda hun ke tusi theek ho
I think that she'll come,main sochda hun ke oh aa jayegi
Does it seem so to you?,thuanu ehhi lagda hai?
Does it also seem so to you?,thuanu vi ehhi lagda hai?
It seems to me that,mainu lagda hai ke
It seems to me that it's good,mainu lagda hai ke eh changa hai
It doesn't seem to me,mainu nahi lagda
What does it seem like to you?,thuanu ki lagda hai?
I think he knows,main sochda hun ke oh janda hai
It seems that it's too much,mainu lagda hai ke eh bahut zyada hai
We think they'll come,asi sochde han ke oh aa jange
It seems to us that they'll come,asanu lagda hai ke oh aa jange
