en,lang
I think that you're right,main sochda hun ke tusi theek ho
I think that she'll come,main sochda hun ke oh aa jayegi
Do you think so?,thuanu ehhi lagda hai?
Do you also think so?,thuanu vi ehhi lagda hai?
It seems that,mainu lagda hai ke
I think it's good,main sochda hun ke eh changa hai
I don't think so,mainu nahi lagda
What do you think?,thuanu ki lagda hai?
I think he knows,main sochda hun ke oh janda hai
It seems too much,mainu lagda hai ke eh bahut zyada hai
We think they'll come,asi sochde han ke oh aa jange
